Timestamp,DeltaT_C,TempMotor_C,TempAmbienteEstimada_C
2025-11-17 00:41:18.322145,25.9905,34.79,8.79948
2025-11-17 00:41:28.322145,23.3757,32.22,8.84429
2025-11-17 00:41:38.322145,22.3918,31.63,9.23816
2025-11-17 00:41:48.322145,16.1792,25.68,9.50077
2025-11-17 00:41:58.322145,20.0274,29.2,9.17261
2025-11-17 00:42:08.322145,30.7298,39.75,9.02016
2025-11-17 00:42:18.322145,29.4962,38.57,9.07384
2025-11-17 00:42:28.322145,22.0033,30.87,8.86668
2025-11-17 00:42:38.322145,16.5906,25.29,8.69942
2025-11-17 00:42:48.322145,21.0939,30.53,9.43613
2025-11-17 00:42:58.322145,17.7853,27.47,9.68468
2025-11-17 00:43:08.322145,27.6239,36.72,9.09614
2025-11-17 00:43:18.322145,20.9472,29.66,8.71278
2025-11-17 00:43:28.322145,17.281,26.65,9.36902
2025-11-17 00:43:38.322145,22.3894,31.05,8.66057
2025-11-17 00:43:48.322145,23.8035,33.45,9.64652
2025-11-17 00:43:58.322145,29.4278,38.16,8.73219
2025-11-17 00:44:08.322145,24.9516,33.97,9.01835
2025-11-17 00:44:18.322145,23.3862,32.64,9.25378
2025-11-17 00:44:28.322145,19.9886,29.65,9.66143
2025-11-17 00:44:38.322145,21.5187,31.09,9.5713
2025-11-17 00:44:48.322145,16.4215,25.27,8.84853
2025-11-17 00:44:58.322145,29.0905,37.91,8.81947
2025-11-17 00:45:08.322145,27.5805,37.04,9.45948
2025-11-17 00:45:18.322145,18.6995,28.26,9.56055
2025-11-17 00:45:28.322145,29.5524,38.07,8.51765
2025-11-17 00:45:38.322145,25.3125,34.39,9.07745
2025-11-17 00:45:48.322145,21.8223,31.39,9.56772
2025-11-17 00:45:58.322145,25.3547,34.78,9.42535
2025-11-17 00:46:08.322145,23.2095,32.15,8.94045
2025-11-17 00:46:18.322145,21.1994,30.89,9.69064
2025-11-17 00:46:28.322145,23.8988,33.29,9.3912
2025-11-17 00:46:38.322145,29.8704,38.5,8.62958
2025-11-17 00:46:48.322145,16.553,26.19,9.63697
2025-11-17 00:46:58.322145,23.1203,32.27,9.14974
2025-11-17 00:47:08.322145,20.9003,29.41,8.50973
2025-11-17 00:47:18.322145,19.3867,28.83,9.44331
2025-11-17 00:47:28.322145,22.3608,31.71,9.34923
2025-11-17 00:47:38.322145,28.6118,37.2,8.58824
2025-11-17 00:47:48.322145,19.9286,28.84,8.91144
2025-11-17 00:47:58.322145,24.9996,33.73,8.73037
2025-11-17 00:48:08.322145,19.2321,28.85,9.61787
2025-11-17 00:48:18.322145,28.8469,37.61,8.76312
2025-11-17 00:48:28.322145,24.3394,33.22,8.8806
2025-11-17 00:48:38.322145,26.2417,35.28,9.03826
2025-11-17 00:48:48.322145,28.5631,37.64,9.07685
2025-11-17 00:48:58.322145,16.3981,25.14,8.74189
2025-11-17 00:49:08.322145,26.0886,35,8.91144
2025-11-17 00:49:18.322145,19.465,29.13,9.665
2025-11-17 00:49:28.322145,21.4375,30.9,9.46247
2025-11-17 00:49:38.322145,18.9368,27.48,8.54322
2025-11-17 00:49:48.322145,20.8638,29.94,9.07625
2025-11-17 00:49:58.322145,29.6199,38.57,8.95012
2025-11-17 00:50:08.322145,25.4364,34.83,9.3936
2025-11-17 00:50:18.322145,23.9557,32.7,8.74432
2025-11-17 00:50:28.322145,20.425,29.77,9.34503
2025-11-17 00:50:38.322145,25.7806,35.05,9.2694
2025-11-17 00:50:48.322145,16.8831,26.56,9.67693
2025-11-17 00:50:58.322145,29.9257,39.36,9.43433
2025-11-17 00:51:08.322145,26.7952,35.7,8.90479
2025-11-17 00:51:18.322145,17.0853,26.1,9.01473
2025-11-17 00:51:28.322145,19.6208,28.22,8.59919
2025-11-17 00:51:38.322145,24.8257,33.63,8.80432
2025-11-17 00:51:48.322145,26.2006,35.62,9.41936
2025-11-17 00:51:58.322145,25.2149,33.87,8.6551
2025-11-17 00:52:08.322145,21.9416,31.6,9.65844
2025-11-17 00:52:18.322145,26.8894,36.13,9.24056
2025-11-17 00:52:28.322145,27.4151,35.92,8.50486
2025-11-17 00:52:38.322145,21.8675,30.61,8.7425
2025-11-17 00:52:48.322145,22.679,31.28,8.60101
2025-11-17 00:52:58.322145,28.966,38.12,9.15395
2025-11-17 00:53:08.322145,27.234,35.88,8.64599
2025-11-17 00:53:18.322145,30.7432,39.68,8.93683
2025-11-17 00:53:28.322145,19.434,28.71,9.27601
2025-11-17 00:53:38.322145,30.7876,39.67,8.88241
2025-11-17 00:53:48.322145,22.1301,31.21,9.07986
2025-11-17 00:53:58.322145,17.2662,26.97,9.70375
2025-11-17 00:54:08.322145,20.2675,29.73,9.46247
2025-11-17 00:54:18.322145,30.4716,39.87,9.39839
2025-11-17 00:54:28.322145,20.5997,29.18,8.58034
2025-11-17 00:54:38.322145,20.1418,29,8.85821
2025-11-17 00:54:48.322145,23.0774,32.48,9.40258
2025-11-17 00:54:58.322145,25.856,35.18,9.32403
2025-11-17 00:55:08.322145,21.5054,30.77,9.26459
2025-11-17 00:55:18.322145,27.2991,35.88,8.58094
2025-11-17 00:55:28.322145,20.0242,28.88,8.85579
2025-11-17 00:55:38.322145,17.9397,26.79,8.85034
2025-11-17 00:55:48.322145,22.4107,31.05,8.6393
2025-11-17 00:55:58.322145,20.73,29.89,9.15997
2025-11-17 00:56:08.322145,21.2846,30.35,9.0654
2025-11-17 00:56:18.322145,23.4564,32.7,9.24357
2025-11-17 00:56:28.322145,25.7235,34.81,9.08649
2025-11-17 00:56:38.322145,18.4129,28.1,9.68707
2025-11-17 00:56:48.322145,27.9511,36.77,8.81886
2025-11-17 00:56:58.322145,31.3228,39.95,8.62715
2025-11-17 00:57:08.322145,30.1745,39,8.82552
2025-11-17 00:57:18.322145,30.4702,39.28,8.80978
2025-11-17 00:57:28.322145,26.4615,35.56,9.09855
2025-11-17 00:57:38.322145,19.9941,28.94,8.94589
2025-11-17 00:57:48.322145,18.0537,26.62,8.56634
2025-11-17 00:57:58.322145,22.8954,31.75,8.85458
2025-11-17 00:58:08.322145,23.4997,32.21,8.71035
2025-11-17 00:58:18.322145,23.1176,32.81,9.69243
2025-11-17 00:58:28.322145,21.8822,30.79,8.90781
2025-11-17 00:58:38.322145,25.7146,35.08,9.36542
2025-11-17 00:58:48.322145,19.5554,28.33,8.77463
2025-11-17 00:58:58.322145,23.3452,32.59,9.24477
2025-11-17 00:59:08.322145,23.4499,32.23,8.78009
2025-11-17 00:59:18.322145,30.1899,39.62,9.43014
2025-11-17 00:59:28.322145,28.7968,37.87,9.07323
2025-11-17 00:59:38.322145,27.247,36.15,8.90298
2025-11-17 00:59:48.322145,23.6463,32.6,8.95375
2025-11-17 00:59:58.322145,20.5639,30.18,9.61608
2025-11-17 01:00:08.322145,28.1525,37.28,9.12746
2025-11-17 01:00:18.322145,22.303,31.46,9.15696
2025-11-17 01:00:28.322145,28.6475,37.69,9.04248
2025-11-17 01:00:38.322145,18.406,28,9.59399
2025-11-17 01:00:48.322145,30.6735,39.28,8.60648
2025-11-17 01:00:58.322145,20.7908,29.54,8.74917
2025-11-17 01:01:08.322145,19.4527,28.28,8.82734
2025-11-17 01:01:18.322145,21.5642,30.34,8.77585
2025-11-17 01:01:28.322145,23.2737,32.4,9.12626
2025-11-17 01:01:38.322145,16.9869,26.13,9.14312
2025-11-17 01:01:48.322145,29.1884,38.51,9.32163
2025-11-17 01:01:58.322145,23.8003,32.31,8.50973
2025-11-17 01:02:08.322145,17.486,26.2,8.71399
2025-11-17 01:02:18.322145,17.0194,26.44,9.42056
2025-11-17 01:02:28.322145,27.103,36.4,9.29702
2025-11-17 01:02:38.322145,19.575,29.16,9.58504
2025-11-17 01:02:48.322145,17.1783,26.86,9.6817
2025-11-17 01:02:58.322145,16.8605,26.29,9.42954
2025-11-17 01:03:08.322145,27.8236,37.31,9.48641
2025-11-17 01:03:18.322145,25.8086,35.31,9.50136
2025-11-17 01:03:28.322145,19.0934,28.43,9.33663
2025-11-17 01:03:38.322145,21.6249,30.19,8.56513
2025-11-17 01:03:48.322145,27.7493,36.84,9.09071
2025-11-17 01:03:58.322145,19.1017,27.64,8.53835
2025-11-17 01:04:08.322145,19.2678,28.12,8.85216
2025-11-17 01:04:18.322145,25.3815,34.09,8.70853
2025-11-17 01:04:28.322145,28.8212,37.7,8.87878
2025-11-17 01:04:38.322145,27.1283,36.58,9.4517
2025-11-17 01:04:48.322145,22.9569,32,9.04309
2025-11-17 01:04:58.322145,20.9533,30.05,9.09674
2025-11-17 01:05:08.322145,28.5403,37.41,8.86971
2025-11-17 01:05:18.322145,23.6818,32.74,9.05816
2025-11-17 01:05:28.322145,21.4194,30.53,9.1106
2025-11-17 01:05:38.322145,25.3469,34.07,8.72309
2025-11-17 01:05:48.322145,23.4826,32.83,9.34743
2025-11-17 01:05:58.322145,17.2158,26.52,9.30423
2025-11-17 01:06:08.322145,24.2439,33.34,9.09614
2025-11-17 01:06:18.322145,25.8146,35.12,9.30543
2025-11-17 01:06:28.322145,27.8571,37.38,9.52289
2025-11-17 01:06:38.322145,20.5107,29.59,9.07926
2025-11-17 01:06:48.322145,30.761,39.32,8.55904
2025-11-17 01:06:58.322145,22.9762,31.59,8.61378
2025-11-17 01:07:08.322145,19.7841,28.92,9.13589
2025-11-17 01:07:18.322145,30.5501,39.76,9.2099
2025-11-17 01:07:28.322145,23.854,32.78,8.92595
2025-11-17 01:07:38.322145,25.7876,35.28,9.49239
2025-11-17 01:07:48.322145,16.5333,26.15,9.61668
2025-11-17 01:07:58.322145,18.8176,27.5,8.68243
2025-11-17 01:08:08.322145,27.081,36.01,8.92897
2025-11-17 01:08:18.322145,27.3106,36.87,9.55935
2025-11-17 01:08:28.322145,19.1951,28.02,8.82492
2025-11-17 01:08:38.322145,22.1012,30.78,8.67878
2025-11-17 01:08:48.322145,25.6604,35.32,9.65964
2025-11-17 01:08:58.322145,18.3914,27.74,9.34863
2025-11-17 01:09:08.322145,19.534,28.7,9.16599
2025-11-17 01:09:18.322145,24.485,33.96,9.47504
2025-11-17 01:09:28.322145,27.9223,36.94,9.01775
2025-11-17 01:09:38.322145,25.0995,34.23,9.13047
2025-11-17 01:09:48.322145,21.5214,30.27,8.74856
2025-11-17 01:09:58.322145,27.0322,36.4,9.36782
2025-11-17 01:10:08.322145,26.895,35.85,8.95496
2025-11-17 01:10:18.322145,28.8938,38.21,9.31623
2025-11-17 01:10:28.322145,16.8768,25.49,8.61317
2025-11-17 01:10:38.322145,19.4022,28.57,9.16779
2025-11-17 01:10:48.322145,16.9397,25.83,8.89028
2025-11-17 01:10:58.322145,22.4087,31.36,8.95133
2025-11-17 01:11:08.322145,19.9937,28.89,8.89632
2025-11-17 01:11:18.322145,20.4011,29.22,8.81886
2025-11-17 01:11:28.322145,21.1034,29.66,8.55661
2025-11-17 01:11:38.322145,28.4767,37.15,8.67332
2025-11-17 01:11:48.322145,20.3551,29.1,8.74493
2025-11-17 01:11:58.322145,30.1374,39.16,9.02257
2025-11-17 01:12:08.322145,28.4777,37.4,8.92232
2025-11-17 01:12:18.322145,23.1122,32.23,9.11782
2025-11-17 01:12:28.322145,16.1923,25.33,9.1377
2025-11-17 01:12:38.322145,19.7712,28.93,9.15877
2025-11-17 01:12:48.322145,20.5787,29.34,8.7613
2025-11-17 01:12:58.322145,18.626,28.11,9.48402
2025-11-17 01:13:08.322145,24.0951,33.56,9.46487
2025-11-17 01:13:18.322145,26.6172,36.25,9.63279
2025-11-17 01:13:28.322145,26.7621,35.99,9.22794
2025-11-17 01:13:38.322145,27.6808,36.3,8.61925
2025-11-17 01:13:48.322145,28.7675,37.49,8.72248
2025-11-17 01:13:58.322145,18.5208,27.29,8.76918
2025-11-17 01:14:08.322145,18.916,27.73,8.81402
2025-11-17 01:14:18.322145,28.9369,38.4,9.46307
2025-11-17 01:14:28.322145,26.3906,35.88,9.4894
2025-11-17 01:14:38.322145,28.2666,36.87,8.60344
2025-11-17 01:14:48.322145,28.6629,38.12,9.45708
2025-11-17 01:14:58.322145,27.2208,36.48,9.25919
2025-11-17 01:15:08.322145,25.278,34.68,9.40199
2025-11-17 01:15:18.322145,25.5927,34.17,8.57729
2025-11-17 01:15:28.322145,23.2115,32.72,9.50854
2025-11-17 01:15:38.322145,24.4627,33.15,8.68728
2025-11-17 01:15:48.322145,28.1608,37.75,9.58922
2025-11-17 01:15:58.322145,19.9759,28.92,8.94408
2025-11-17 01:16:08.322145,26.7957,35.56,8.76433
2025-11-17 01:16:18.322145,17.0466,25.56,8.51339
2025-11-17 01:16:28.322145,21.3896,30.57,9.18043
2025-11-17 01:16:38.322145,16.6835,25.22,8.53652
2025-11-17 01:16:48.322145,23.1385,31.79,8.65146
2025-11-17 01:16:58.322145,23.0677,31.69,8.62229
2025-11-17 01:17:08.322145,28.5408,37.16,8.61925
2025-11-17 01:17:18.322145,19.0822,28.58,9.49777
2025-11-17 01:17:28.322145,24.9217,33.87,8.94831
2025-11-17 01:17:38.322145,30.2887,39.48,9.19126
2025-11-17 01:17:48.322145,24.7655,33.82,9.05454
2025-11-17 01:17:58.322145,20.9759,30.06,9.08408
2025-11-17 01:18:08.322145,20.3853,29.01,8.62472
2025-11-17 01:18:18.322145,28.243,37.1,8.857
2025-11-17 01:18:28.322145,27.2245,35.82,8.59554
2025-11-17 01:18:38.322145,27.233,36.34,9.10698
2025-11-17 01:18:48.322145,20.8254,30.01,9.18464
2025-11-17 01:18:58.322145,27.5536,36.94,9.3864
2025-11-17 01:19:08.322145,26.6296,36.01,9.38041
2025-11-17 01:19:18.322145,21.093,30.51,9.41696
2025-11-17 01:19:28.322145,24.9923,34.13,9.1377
2025-11-17 01:19:38.322145,27.4454,36.26,8.81462
2025-11-17 01:19:48.322145,25.8166,34.85,9.03343
2025-11-17 01:19:58.322145,20.5835,29.62,9.03645
2025-11-17 01:20:08.322145,22.4657,31.61,9.14432
2025-11-17 01:20:18.322145,19.6079,28.59,8.98213
2025-11-17 01:20:28.322145,29.9226,39.27,9.34743
2025-11-17 01:20:38.322145,28.9612,38.45,9.4888
2025-11-17 01:20:48.322145,18.7446,28.28,9.53545
2025-11-17 01:20:58.322145,19.0867,28.09,9.00326
2025-11-17 01:21:08.322145,19.1557,28.2,9.04429
2025-11-17 01:21:18.322145,16.5751,25.32,8.74493
2025-11-17 01:21:28.322145,30.0334,39.1,9.0666
2025-11-17 01:21:38.322145,27.5648,36.89,9.32523
2025-11-17 01:21:48.322145,20.8907,30.34,9.4493
2025-11-17 01:21:58.322145,29.0369,38.26,9.22313
2025-11-17 01:22:08.322145,20.0548,28.85,8.79524
2025-11-17 01:22:18.322145,22.6195,32.14,9.5205
2025-11-17 01:22:28.322145,18.5293,28.1,9.5707
2025-11-17 01:22:38.322145,17.8126,27.19,9.37741
2025-11-17 01:22:48.322145,21.3611,29.88,8.51887
2025-11-17 01:22:58.322145,30.3141,39.74,9.42595
2025-11-17 01:23:08.322145,26.3266,35.92,9.5934
2025-11-17 01:23:18.322145,25.0707,33.71,8.6393
2025-11-17 01:23:28.322145,20.2422,29.15,8.90781
2025-11-17 01:23:38.322145,30.4696,39.24,8.77039
2025-11-17 01:23:48.322145,28.3764,37.65,9.2736
2025-11-17 01:23:58.322145,20.8907,29.44,8.54931
2025-11-17 01:24:08.322145,30.0438,39.22,9.17622
2025-11-17 01:24:18.322145,20.4128,29.78,9.36722
2025-11-17 01:24:28.322145,30.0407,39.25,9.2093
2025-11-17 01:24:38.322145,30.117,38.76,8.64295
2025-11-17 01:24:48.322145,18.6517,28.22,9.56831
2025-11-17 01:24:58.322145,30.3718,38.94,8.56817
2025-11-17 01:25:08.322145,26.8031,36.01,9.2069
2025-11-17 01:25:18.322145,18.8218,27.88,9.05816
2025-11-17 01:25:28.322145,20.1181,29.07,8.95193
2025-11-17 01:25:38.322145,26.4546,35.95,9.49538
2025-11-17 01:25:48.322145,15.7425,25.42,9.67753
2025-11-17 01:25:58.322145,23.0215,32.17,9.14853
2025-11-17 01:26:08.322145,26.4102,35.2,8.78978
2025-11-17 01:26:18.322145,17.8335,27.44,9.60653
2025-11-17 01:26:28.322145,26.2146,35.91,9.69541
2025-11-17 01:26:38.322145,21.7713,30.85,9.07866
2025-11-17 01:26:48.322145,16.9967,26.15,9.15335
2025-11-17 01:26:58.322145,26.1258,35.03,8.90419
2025-11-17 01:27:08.322145,26.5846,35.86,9.27541
2025-11-17 01:27:18.322145,26.6299,35.43,8.80008
2025-11-17 01:27:28.322145,22.2496,31.73,9.48043
2025-11-17 01:27:38.322145,16.6753,25.62,8.94468
2025-11-17 01:27:48.322145,24.0638,33.32,9.25618
2025-11-17 01:27:58.322145,18.1666,26.96,8.79342
2025-11-17 01:28:08.322145,27.8952,36.96,9.06479
2025-11-17 01:28:18.322145,23.6522,33.05,9.39779
2025-11-17 01:28:28.322145,30.3111,39.13,8.81886
2025-11-17 01:28:38.322145,16.2318,25.07,8.83824
2025-11-17 01:28:48.322145,27.7559,36.38,8.62411
2025-11-17 01:28:58.322145,23.3626,32.71,9.34743
2025-11-17 01:29:08.322145,22.8474,32.13,9.28261
2025-11-17 01:29:18.322145,24.6145,33.76,9.14552
2025-11-17 01:29:28.322145,30.1366,39.32,9.18344
2025-11-17 01:29:38.322145,28.6833,37.55,8.86668
2025-11-17 01:29:48.322145,20.1417,29.57,9.42834
2025-11-17 01:29:58.322145,28.1989,37.84,9.64115
2025-11-17 01:30:08.322145,28.2687,37.92,9.65129
2025-11-17 01:30:18.322145,20.8664,30.14,9.2736
2025-11-17 01:30:28.322145,27.4867,36.05,8.5633
2025-11-17 01:30:38.322145,27.2666,36.06,8.79342
2025-11-17 01:30:48.322145,25.6525,34.55,8.89753
2025-11-17 01:30:58.322145,25.9768,35.05,9.07323
2025-11-17 01:31:08.322145,24.9608,33.58,8.61925
2025-11-17 01:31:18.322145,22.1933,31.7,9.50675
2025-11-17 01:31:28.322145,25.7532,34.52,8.76675
2025-11-17 01:31:38.322145,28.9932,38.37,9.37681
2025-11-17 01:31:48.322145,18.4824,27.64,9.15756
2025-11-17 01:31:58.322145,26.5863,36.05,9.46367
2025-11-17 01:32:08.322145,28.069,37.36,9.29102
2025-11-17 01:32:18.322145,26.1252,35.01,8.88483
2025-11-17 01:32:28.322145,27.7826,37.33,9.5474
2025-11-17 01:32:38.322145,29.7218,39.14,9.41816
2025-11-17 01:32:48.322145,25.1268,34.79,9.66322
2025-11-17 01:32:58.322145,19.4952,28.86,9.36482
2025-11-17 01:33:08.322145,20.79,30.03,9.23996
2025-11-17 01:33:18.322145,29.0295,37.97,8.94045
2025-11-17 01:33:28.322145,18.6618,28.26,9.59817
2025-11-17 01:33:38.322145,21.9852,31.23,9.24477
2025-11-17 01:33:48.322145,16.8724,26.2,9.32763
2025-11-17 01:33:58.322145,30.1662,39.48,9.31383
2025-11-17 01:34:08.322145,23.6142,32.43,8.81583
2025-11-17 01:34:18.322145,17.56,26.95,9.39
2025-11-17 01:34:28.322145,23.7182,33.08,9.36182
2025-11-17 01:34:38.322145,20.6715,30.14,9.46846
2025-11-17 01:34:48.322145,25.726,35.11,9.38401
2025-11-17 01:34:58.322145,17.4158,26.81,9.39419
2025-11-17 01:35:08.322145,24.971,34.47,9.49897
2025-11-17 01:35:18.322145,25.6795,34.81,9.13047
2025-11-17 01:35:28.322145,21.1056,30.39,9.28441
2025-11-17 01:35:38.322145,17.4868,26.56,9.07323
2025-11-17 01:35:48.322145,25.782,34.72,8.93804
2025-11-17 01:35:58.322145,18.8728,28.21,9.33723
2025-11-17 01:36:08.322145,23.066,31.84,8.77403
2025-11-17 01:36:18.322145,28.9364,38.43,9.49359
2025-11-17 01:36:28.322145,19.7617,28.5,8.73825
2025-11-17 01:36:38.322145,28.3303,37.8,9.46965
2025-11-17 01:36:48.322145,24.8621,34.01,9.14793
2025-11-17 01:36:58.322145,22.0424,30.88,8.83763
2025-11-17 01:37:08.322145,21.5276,30.39,8.86245
2025-11-17 01:37:18.322145,21.8951,30.99,9.09493
2025-11-17 01:37:28.322145,23.7583,32.97,9.21171
2025-11-17 01:37:38.322145,26.9254,36.25,9.32463
2025-11-17 01:37:48.322145,18.7248,28.21,9.48521
2025-11-17 01:37:58.322145,28.643,37.8,9.15696
2025-11-17 01:38:08.322145,28.0867,37.6,9.51332
2025-11-17 01:38:18.322145,27.4945,36.64,9.14552
2025-11-17 01:38:28.322145,30.2811,39.32,9.03886
2025-11-17 01:38:38.322145,22.8927,31.74,8.84732
2025-11-17 01:38:48.322145,29.8781,39.49,9.6119
2025-11-17 01:38:58.322145,16.6817,26.33,9.6483
2025-11-17 01:39:08.322145,28.3954,37.95,9.55457
2025-11-17 01:39:18.322145,25.6338,34.25,8.61621
2025-11-17 01:39:28.322145,16.7842,26.14,9.35583
2025-11-17 01:39:38.322145,18.1915,27.24,9.04851
2025-11-17 01:39:48.322145,30.1487,39.8,9.65129
2025-11-17 01:39:58.322145,29.9965,39.21,9.21351
2025-11-17 01:40:08.322145,17.1575,25.98,8.82249
2025-11-17 01:40:18.322145,22.2277,30.78,8.55235
2025-11-17 01:40:28.322145,27.6145,37.08,9.46546
2025-11-17 01:40:38.322145,28.9184,37.65,8.73158
2025-11-17 01:40:48.322145,15.9848,25.02,9.03524
2025-11-17 01:40:58.322145,26.4375,35.16,8.72248
2025-11-17 01:41:08.322145,20.5686,29.64,9.07143
2025-11-17 01:41:18.322145,30.8159,39.95,9.13408
2025-11-17 01:41:28.322145,18.7992,27.8,9.00085
2025-11-17 01:41:38.322145,30.8009,39.51,8.70913
2025-11-17 01:41:48.322145,19.5612,29.2,9.63876
2025-11-17 01:41:58.322145,23.0362,31.58,8.54383
2025-11-17 01:42:08.322145,22.9622,32.03,9.06781
2025-11-17 01:42:18.322145,25.1599,34.62,9.46008
2025-11-17 01:42:28.322145,18.9978,28.55,9.55218
2025-11-17 01:42:38.322145,23.4034,33.1,9.6966
2025-11-17 01:42:48.322145,30.4334,39.32,8.88665
2025-11-17 01:42:58.322145,19.024,27.91,8.88604
2025-11-17 01:43:08.322145,29.3405,38.99,9.6495
2025-11-17 01:43:18.322145,18.7383,27.38,8.64173
2025-11-17 01:43:28.322145,28.5957,37.12,8.52435
2025-11-17 01:43:38.322145,17.3851,26.58,9.19487
2025-11-17 01:43:48.322145,19.7874,29.16,9.37262
2025-11-17 01:43:58.322145,25.4342,34.76,9.32583
2025-11-17 01:44:08.322145,21.339,30.89,9.55099
2025-11-17 01:44:18.322145,15.6343,25.31,9.67574
2025-11-17 01:44:28.322145,20.1983,28.75,8.55174
2025-11-17 01:44:38.322145,19.5462,29.13,9.58384
2025-11-17 01:44:48.322145,28.4358,37.55,9.11421
2025-11-17 01:44:58.322145,30.6706,39.78,9.10939
2025-11-17 01:45:08.322145,23.6139,32.36,8.74614
2025-11-17 01:45:18.322145,19.0828,27.75,8.66725
2025-11-17 01:45:28.322145,22.9474,32.65,9.70256
2025-11-17 01:45:38.322145,26.4872,35.09,8.60284
2025-11-17 01:45:48.322145,27.4593,36.55,9.09071
2025-11-17 01:45:58.322145,17.0143,26.02,9.00568
2025-11-17 01:46:08.322145,16.916,26.33,9.41397
2025-11-17 01:46:18.322145,18.2936,27.01,8.71642
2025-11-17 01:46:28.322145,20.5798,29.12,8.54018
2025-11-17 01:46:38.322145,27.5275,36.27,8.7425
2025-11-17 01:46:48.322145,30.3531,39.25,8.89693
2025-11-17 01:46:58.322145,20.1184,29.44,9.32163
2025-11-17 01:47:08.322145,24.5666,33.83,9.26339
2025-11-17 01:47:18.322145,21.3063,29.83,8.52374
2025-11-17 01:47:28.322145,23.0793,31.6,8.52069
2025-11-17 01:47:38.322145,22.271,31.64,9.36902
2025-11-17 01:47:48.322145,22.531,31.9,9.36902
2025-11-17 01:47:58.322145,19.4151,28.16,8.74493
2025-11-17 01:48:08.322145,23.0141,31.64,8.62594
2025-11-17 01:48:18.322145,16.3781,25.52,9.14191
2025-11-17 01:48:28.322145,17.9019,26.98,9.07806
2025-11-17 01:48:38.322145,18.1128,26.74,8.62715
2025-11-17 01:48:48.322145,25.0242,33.84,8.81583
2025-11-17 01:48:58.322145,26.9748,36.3,9.32523
2025-11-17 01:49:08.322145,18.3459,27.36,9.01413
2025-11-17 01:49:18.322145,29.8292,39.53,9.70077
2025-11-17 01:49:28.322145,24.2863,33.07,8.78372
